Plant ID,index,plot,plant,kind,center.x(m),center.y(m),min_rect_width(m),min_rect_length(m),hover_area(m2),PLA(cm2),centroid.x(m),centroid.y(m),long_axis(m),short_axis(m),orient_deg2xaxis,percentile_height(m)
77,3,S13 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,3,0,0.887953645,-2.187213791,0.431438832,0.450309501,0.156014385,397.1111111,0.889307188,-2.19326354,0.436270161,0.357567651,-16.39332783,0.067316305
78,4,S13 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,4,0,1.159079909,-1.859752129,0.306783787,0.349532463,0.081092146,240.4444444,1.155409397,-1.862319083,0.342542423,0.258843241,-61.33412333,0.109821829
79,5,S13 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,5,0,1.381732628,-2.200951118,0.369398861,0.269379502,0.074601486,185.8888889,1.377588931,-2.208112114,0.401712832,0.225053102,45.73529476,0.052214258
80,0,S14 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,0,0,-7.854196897,-2.816472309,0.4465953,0.410086553,0.124228005,269,-7.853998171,-2.817681854,0.489936831,0.322120303,51.86921097,0.053009619
81,1,S14 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,1,0,-7.544562621,-2.496509099,0.379399468,0.270288634,0.072132082,199.1111111,-7.541987896,-2.49688896,0.317081043,0.269374014,-85.5580992,0.179356849
82,2,S14 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,2,0,-7.291390572,-2.813218693,0.419374674,0.444445483,0.163835331,324.7777778,-7.299249482,-2.820684982,0.464150312,0.337298242,37.05045961,0.050913609
83,3,S14 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,3,0,-6.842116604,-2.886632225,0.290358003,0.400088815,0.084193849,268.6666667,-6.843117242,-2.889481712,0.439702185,0.243916925,-68.68008343,0.186978173
84,4,S14 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,4,0,-6.603074924,-2.583740924,0.290251621,0.154043549,0.039622766,187.3333333,-6.596701508,-2.584462236,0.289090349,0.147149554,84.16258234,0.204196162
85,5,S14 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,5,0,-6.405705441,-2.945766644,0.28748647,0.302635064,0.06484612,222.3333333,-6.404394252,-2.942560396,0.307025289,0.225982798,-54.73515793,0.18090973
86,0,S15 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,0,0,-3.488569639,-3.061596621,0.392935493,0.372819414,0.115198154,309.3333333,-3.488122679,-3.058424991,0.364436973,0.311391633,-60.95581518,0.126672982
87,1,S15 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,1,0,-3.108457801,-2.798994286,0.302365153,0.249142997,0.054725329,173.2222222,-3.108399194,-2.806991826,0.332771091,0.19390163,69.41647398,0.197753409
88,2,S15 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,2,0,-2.901292869,-3.087109964,0.271000446,0.28747255,0.066207495,246.1111111,-2.900644612,-3.095490401,0.276237561,0.242203495,-75.72820373,0.121779666
89,3,S15 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,3,0,-2.499855891,-2.94624697,0.344816156,0.265574084,0.063353737,208.1111111,-2.504907855,-2.955574144,0.373752089,0.199006982,58.56105756,0.127735874
90,4,S15 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,4,0,-2.091753082,-3.146029533,0.27811161,0.313006709,0.063108615,194.8888889,-2.103626752,-3.145048755,0.33875501,0.220075781,88.30948773,0.141108415
91,5,S15 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,5,0,-1.710159062,-2.990547789,0.244393386,0.361901961,0.060467357,188.7777778,-1.705887548,-2.992390404,0.33550589,0.205832375,-66.63915873,0.085733638
92,0,S16 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,0,0,0.625075997,-2.213293443,0.272523838,0.345396065,0.067301487,205.2222222,0.616063376,-2.212359507,0.341719938,0.226088949,-32.36004203,0.103297733
93,1,S16 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,1,0,0.96823638,-1.888125991,0.438871534,0.341039765,0.098458774,257.8888889,0.9706974,-1.879937459,0.430532716,0.292398102,9.768841622,0.131322696
94,2,S16 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,2,0,1.152644774,-2.2933173,0.322125683,0.254758402,0.05341625,171,1.154942461,-2.289192469,0.315494031,0.209284209,47.48672161,0.140415484
95,3,S16 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,3,0,1.517280821,-2.115259661,0.336218443,0.50775298,0.121232704,260.5555556,1.523210439,-2.119096303,0.522456694,0.297781032,-74.69587905,0.163843228
96,4,S16 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,4,0,1.897978552,-2.244235914,0.445426424,0.323764788,0.109272232,276.1111111,1.892810446,-2.24281599,0.448528861,0.295743796,-75.33903674,0.111282721
97,5,S16 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,5,0,2.293217398,-2.090849275,0.290991059,0.484770588,0.100576441,234.4444444,2.287023074,-2.088284974,0.478070137,0.22790553,-46.84275563,0.14616827
98,0,S17 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,0,0,2.494909506,-2.12194657,0.325274188,0.294980067,0.069247437,178,2.488877301,-2.125024911,0.369134057,0.259391846,60.88897957,0.120411259
99,1,S17 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,1,0,2.762818024,-1.714039509,0.399082369,0.357128922,0.115222569,264.1111111,2.746943681,-1.726708673,0.476749889,0.287527731,25.77506772,0.153199799
100,2,S17 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,2,0,3.069832405,-2.055693032,0.38028337,0.283460812,0.080802983,155.7777778,3.071307958,-2.054250612,0.355397927,0.27495029,-82.93183016,0.149101362
101,3,S17 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,3,0,3.389884431,-1.862482136,0.323156098,0.451737828,0.114036473,276.2222222,3.385384072,-1.865405846,0.439185646,0.286059987,-36.95478588,0.17431425
102,4,S17 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,4,0,3.764662673,-2.107192658,0.38132182,0.330327424,0.09837219,232.8888889,3.764525664,-2.107243149,0.434886233,0.300260574,41.19818333,0.138385212
103,5,S17 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,5,0,4.189895811,-1.814733937,0.232495114,0.37563561,0.068891842,191.6666667,4.185154378,-1.801711057,0.385262666,0.200763525,-67.62823321,0.132631427
104,0,S18 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,0,0,-3.384016605,-1.578238575,0.472483051,0.349815856,0.121176159,290.3333333,-3.386182846,-1.582029439,0.469067048,0.300699031,38.87012152,0.169409618
105,1,S18 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,1,0,-3.053296649,-1.182332041,0.411875489,0.247985043,0.070870464,198.5555556,-3.054454142,-1.187528607,0.388711228,0.179657458,-87.9873449,0.212813951
106,2,S18 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,2,0,-2.726274546,-1.418091839,0.259540408,0.41302771,0.075433263,239.1111111,-2.731907462,-1.417141285,0.352328032,0.201120548,-86.4716468,0.171367578
107,3,S18 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,3,0,-2.369609247,-1.457573732,0.471905291,0.343620458,0.119220511,281.8888889,-2.371197484,-1.465965731,0.482912319,0.283922784,77.30130185,0.104020843
108,4,S18 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,4,0,-2.037671748,-1.579370846,0.232394989,0.308302152,0.048427155,126.1111111,-2.034728269,-1.570077805,0.348613819,0.205060486,-76.3580875,0.115811357
109,5,S18 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,5,0,-1.65893134,-1.484134622,0.3156589,0.498051632,0.117905691,288,-1.662517668,-1.485893214,0.494788389,0.234660739,-58.92569268,0.150063124
110,0,S19 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,0,0,-7.544940536,-2.924529975,0.291350041,0.238342813,0.057177238,229.5555556,-7.548073818,-2.92421167,0.256733031,0.228357715,58.57587817,0.166481081
111,1,S19 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,1,0,-7.292022828,-2.57476899,0.286193314,0.201528815,0.044124015,183.1111111,-7.295199273,-2.574295322,0.285655955,0.152501407,67.60335677,0.176484241
112,2,S19 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,2,0,-7.070297686,-2.950716362,0.371869235,0.302341133,0.089409051,273.4444444,-7.074158756,-2.951925464,0.338834344,0.277752732,76.26754726,0.135975486
113,3,S19 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,3,0,-6.660580212,-2.844418494,0.365702623,0.308118633,0.088148923,247.8888889,-6.657779828,-2.845720085,0.37947431,0.254660794,66.53178797,0.080294612
114,4,S19 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,4,0,-6.262170893,-2.910798368,0.316267052,0.263256644,0.064083436,209,-6.264174138,-2.913409532,0.329103796,0.241885005,-85.90190992,0.133272596
